GameID,Winning_Team,Wicket_1_WT,Wicket_2_WT,Wicket_3_WT,Wicket_4_WT,Wicket_5_WT,Wicket_6_WT,Wicket_7_WT,Wicket_8_WT,Wicket_9_WT,Wicket_10_WT,TotalWT,GameID,Losing_Team,Wicket_1_LT,Wicket_2_LT,Wicket_3_LT,Wicket_4_LT,Wicket_5_LT,Wicket_6_LT,Wicket_7_LT,Wicket_8_LT,Wicket_9_LT,Wicket_10_LT,TotalLT
50,Sixers,22.67,14.00,57.33,6.00,NA,NA,NA,NA,NA,NA,,50,Strikers,37.58,29.53,10.07,11.41,11.41,NA,NA,NA,NA,NA,
51,Renegades,68.00,0.00,0.00,16.80,0.00,6.40,8.80,NA,NA,NA,,51,Scorchers,17.74,1.61,2.42,4.84,4.03,20.97,0.00,48.39,NA,NA,
52,Heat,9.59,21.92,56.85,10.96,0.68,NA,NA,NA,NA,NA,,52,Thunder,14.48,28.97,26.21,8.28,12.41,9.66,NA,NA,NA,NA,
53,Hurricanes,29.23,30.00,25.38,0.00,11.54,3.85,NA,NA,NA,NA,,53,Stars,23.44,9.38,10.16,10.16,21.09,3.13,20.31,2.34,NA,NA,
54,Scorchers,21.24,17.70,0.88,26.55,3.54,27.43,2.65,NA,NA,NA,,54,Renegades,1.79,15.18,33.93,19.64,17.86,0.00,4.46,0.00,1.79,5.36,
55,Sixers,47.32,20.54,27.68,4.46,NA,NA,NA,NA,NA,NA,,55,Strikers,18.02,10.81,21.62,6.31,26.13,4.50,1.80,9.01,0.90,0.90,
56,Thunder,17.09,5.98,16.24,33.33,0.00,11.97,9.40,0.00,5.98,NA,,56,Heat,0.00,35.65,1.74,6.09,35.65,7.83,0.87,5.22,1.74,5.22,
57,Scorchers,43.92,14.19,41.89,NA,NA,NA,NA,NA,NA,NA,,57,Thunder,8.26,17.36,3.31,7.44,1.65,34.71,15.70,9.09,2.48,NA,
58,Sixers,2.17,63.04,10.14,19.57,3.62,1.45,NA,NA,NA,NA,,58,Strikers,16.53,0.00,1.65,1.65,0.83,0.00,38.02,19.83,14.05,7.44,
59,Sixers,64.00,36.00,NA,NA,NA,NA,NA,NA,NA,NA,,59,Scorchers,23.23,3.03,3.03,12.12,20.20,5.05,5.05,19.19,4.04,5.05,
